namespace_prefix	namespace_name
rbk	Rebuilding a Kidney
re3data	re3data
rebase	REBASE
refseq	RefSeq
refseq.gcf	Genome assembly database - RefSeq accessions
repeatsdb.protein	RepeatsDB Protein
repeatsdb.structure	RepeatsDB Structure
resid	RESID
rfam	RFAM
rgd	Rat Genome Database
rgd.qtl	Rat Genome Database qTL
rgd.strain	Rat Genome Database strain
ricegap	Rice Genome Annotation Project
ricenetdb.compound	RiceNetDB Compound
ricenetdb.gene	RiceNetDB Gene
ricenetdb.mirna	RiceNetDB miRNA
ricenetdb.protein	RiceNetDB Protein
ricenetdb.reaction	RiceNetDB Reaction
rism	RISM Online
rnacentral	RNAcentral
rnamods	RNA Modification Database
ror	ROR
rouge	Rouge
rrid	RRID
runbiosimulations	runBioSimulations
sabiork.compound	SABIO-RK Compound
sabiork.ec	SABIO-RK EC Record
sabiork.kineticrecord	SABIO-RK Kinetic Record
sabiork.reaction	SABIO-RK Reaction
sasbdb	SASBDB
sbo	Systems Biology Ontology
sciflection	Sciflection
scop	SCOP
scretf	ScerTF
sdbs	Spectral Database for Organic Compounds
sdy	Immunology Database and Analysis Portal (ImmPort)
sedml.format	SED-ML data format
sedml.language	SED-ML model format
seed	SEED Subsystem
seed.compound	SEED Compound
seed.reaction	SEED Reactions
sgd	SGD
sgd.pathways	Saccharomyces genome database pathways
sgn	Sol Genomics Network
sheepqtldb	Animal Genome Sheep QTL
signaling-gateway	Signaling Gateway
sio	Semanticscience Integrated Ontology
sisu	SISu
sitex	SitEx
skm	Stress Knowledge Map
slm	SwissLipids
smart	SMART
snomedct	SNOMED CT
snp2tfbs	SNP2TFBS
so	Sequence Ontology
soybase	SoyBase
sparc.drs	SPARC DRS
spdx	SPDX License List
spike.map	SPIKE Map
splash	SPLASH
spp	Signaling Pathways Project
stap	STAP
stato	Statistical Ontology
storedb	STOREDB
string	STRING
subtilist	SubtiList
subtiwiki	SubtiWiki
sugarbind	SugarBind
supfam	SUPFAM
swh	Software Heritage
swiss-model	SWISS-MODEL Repository
swissregulon	SwissRegulon
synapse	Synapse Data Repository
t3db	T3DB
tair.gene	TAIR Gene
tair.locus	TAIR Locus
tair.name	TAIR gene name
tair.protein	TAIR Protein
tarbase	TarBase
tcdb	Transport Classification Database
tgd	Tetrahymena Genome Database
